432,"Registru operare, verificare, calibrare  şi curăţare al balanței analitice",Balanta Partner AS 310 R2,Nr. crt.,Data,Operaţia/Denumirea probei,Serie/Lot,"Masa cântărită, g",Semnătura persoanei care a efectuat operaţia,Observaţii
,,,35,28/03/2024,Am. cpr SPIRULINA 1000 mg,011.03.24,0.1451,Mihaela Neagu ,functional 
,,,36,28/03/2024,SPIRULINA cpr 1000 mg,011.03.24,0.147,Mihaela Neagu ,functional 
,,,37,28/03/2024,curatare ,,,Mihaela Neagu,functional 
,,,38,28/03/2024,calibrare,,,Mihaela Neagu,functional 
,,,39,03/04/2024,VEDISAN cps - vrac,001.03.24,0.578,Mihaela Neagu ,functional 
,,,40,03/04/2024,cuaratre ,,,Mihaela Neagu,functional 
,,,41,03/04/2024,calibare ,,,Mihaela Neagu,functional 
,,,42,08/05/2024,Am. cpr SPIRULINA 1000 mg,021.04.24,0.146,Mihaela Neagu ,functional 
,,,43,08/05/2024,SPIRULINA cpr 1000 mg,021.04.24,0.1438,Mihaela Neagu ,functional 
,,,44,08/05/2024,curatare ,,,,
,,,45,08/05/2024,calibare ,,,,
,,,46,30/05/2024,Am. cpr PROTEIN FORTA,002.05.24,0.149,Mihaela Neagu ,functional 
,,,47,30/05/2024,Am. cpr SPIRULINA 1000 mg,031.05.24,0.145,Mihaela Neagu ,functional 
,,,48,30/05/2024,Am. cpr SPIRULINA cu extr. total catina,011.05.24,0.1485,Mihaela Neagu ,functional 
,,,49,30/05/2024,SPIRULINA cu extr. total CATINA cpr - vrac,011.05.24,0.1428,Mihaela Neagu ,functional 
,,,50,30/05/2024,SPIRULINA cpr 1000 mg,031.05.24,0.1435,Mihaela Neagu ,functional 
,,,51,30/05/2024,curatare ,,,Mihaela Neagu,functional 
,,,52,30/05/2024,calibare ,,,Mihaela Neagu,functional 
,,,53,11/06/2024,Am. cps ARMUHEP,001.06.24,5.6567,Cristina Luntraru,functional 
,,,54,11/06/2024,ARMUHEP cps - vrac,001.06.24,5.3598,Cristina Luntraru,functional 
,,,55,11/06/2024,curatare ,,,Cristina Luntraru,functional 
,,,56,11/06/2024,calibare ,,,Cristina Luntraru,functional 
,,,57,14/06/2024,Am. cpr COMPLEX ALFALFA,002.06.24,0.2624,Cristina Luntraru,functional 
,,,58,14/06/2024,PROTEIN FORTA cpr acop. - vrac,002.05.24,0.2533,Cristina Luntraru,functional 
,,,59,14/06/2024,curatare ,,,Cristina Luntraru ,functional 
,,,60,14/06/2024,calibare ,,,Cristina L:untraru,functional 
,,,61,18/06/2024,COMPLEX ALFALFA cpr acop. - vrac,002.06.24,0.2762,Mihaela Neagu ,functional 
,,,62,18/06/2024,SPIRULINA biomasa,YJS20240206,0.1456,Mihaela Neagu ,functional 
,,,63,18/06/2024,SPIRULINA biomasa,YJS20240207,0.1469,Mihaela Neagu ,functional 
,,,64,18/06/2024,SPIRULINA biomasa,YJS20240208,0.1434,Mihaela Neagu ,functional 
,,,65,18/06/2024,SPIRULINA biomasa,YJS20240209,0.1432,Mihaela Neagu ,functional 
,,,66,18/06/2024,curatare ,,,Mihaela Neagu,functional 
,,,67,18/06/2024,calibare ,,,Mihaela Neagu,functional 
,,,68,20/06/2024,SPIRULINA biomasa,YJS20240204,0.1446,Mihaela Neagu ,functional 
,,,69,20/06/2024,SPIRULINA biomasa,YJS20240205,0.146,Mihaela Neagu ,functional 
,,,70,20/06/2024,curatare ,,,Mihaela Neagu,functional 
,,,71,20/06/2024,calibare,,,Mihaela Neagu ,functional 
,,,72,18/07/2024,CATINA fruct Degresat MPA,001.07.24,5.0354,Mihaela Neagu ,functional 
,,,73,18/07/2024,curatare ,,,Mihaela Neagu,functional 
,,,74,18/07/2024,calibrare,,,Mihaela Neagu,functional 
,,,75,22/07/2024,Am. cpr SPIRULINA 1000 mg,041.07.24,0.1478,Mihaela Neagu ,functional 
,,,76,22/07/2024,SPIRULINA cpr 1000 mg,041.07.24,0.1421,Mihaela Neagu ,functional 
,,,77,22/07/2024,Lucerna MPA ECO,001.07.24,0.2839,Mihaela Neagu ,functional 
,,,78,22/07/2024,curatare,,,Mihaela Neagu,functional 
,,,79,22/07/2024,calibare ,,,Mihaela Neagu,functional 
,,,80,25/07/2024,Am. cpr COMPLET HOFIGAL ANTIOXIDANT,001.07.24,1.2975,Cristina Luntraru,functional 
,,,81,25/07/2024,curatare ,,,Mihaela Neagu,functional 
,,,82,25/07/2024,calibrare ,,,Mihaela Neagu,functional 
,,,83,,Amestec incaps.- Prod Iod,001.01.24,,Justinian Tomescu ,functional 
,,,84,,PRODUS IOD-cps. vrac,001.01.24,,Justinian Tomescu ,functional 
,,,85,,PRODUS IOD-cps. vrac,002.01.24,,Justinian Tomescu ,functional 
,,,86,,PRODUS IOD-cps. vrac,003.01.24,,Justinian Tomescu ,functional 
,,,87,,PRODUS IOD - Amb. primara,001.01.24,,Justinian Tomescu ,functional 
,,,88,,PRODUS IOD- Amb. Primara,002.01.24,,Justinian Tomescu ,functional 
,,,89,,PRODUS IOD- Amb. Primara,003.01.24,,Justinian Tomescu ,functional 
,,,90,,COMPLET HOFIGAL ANTIOXIDANT cpr acop.,001.07.24,,Mihaela Neagu,functional 
,,,91,,Am. cpr SPIRULINA 1000 mg,051.08.24,,Mihaela Neagu,functional 
,,,92,,SPIRULINA cpr 1000 mg,051.08.24,,Mihaela Neagu,functional 
,,,93,,COMPLET HOFIGAL ANTIOXIDANT cpr acop.,002.07.24,,Mihaela Neagu,functional 
,,,94,,Am. cpr COMPLET HOFIGAL ANTIOXIDANT,002.09.24,,Mihaela Neagu,functional 
,,,95,,Am. cpr SPIRULINA cu extr. total catina,021.09.24,,Mihaela Neagu,functional 
,,,96,,SPIRULINA cu extr. total CATINA cpr - vrac,021.09.24,,Mihaela Neagu,functional 
,,,97,30/08/2024,Coji seminte de floarea soarelui,001.08.24,0.2596,Mihaela Neagu,functional 
